stars,review_stars,text
1.5,1,"it is todays experience that got HCC (Hobo Camper Country) this review.
I needed a side vent cover for a tent trailer.  They did not have it in stock, and would need to order it, so in good faith I pre-paid for the order on my Mastercard.  
On my way to the doctor I stopped in at ArrKann RV who had the same part for 50% less.  
I called HCC to inform them and cancel the order since they have to place it with their supplier anyways. (sale transaction @9:59am, called @11:00am, refund transaction@11:31am)
For my courtesy that they didn't have excess stock on hand they charged me 10% restocking fee (very generous of them since it's 20%).  the explanation was MasterCard charges them for the sale and refund.  Any competent retailer knows a credit card sale isn't final until the terminal is closed out at the end of the day, and the transaction could have been easily voided with no fees involved.

I'm sure HCC may have provided good sales and service to someone (not me).
It would be nice if owners/operators knew their own sales systems instead of blaming Mastercard to scam a few dollars."
1.5,2,"Meh, needed parts got attitude.  went somewhere else got looked after."
1.5,1,"My father took his motorhome in to get the Antenna and Brake Controller  repaired. He was told it would be about $350.00. When the motorhome was picked up 2 weeks later he was given a bill for over $900.00. They didn't contact him to let him know what they were going to charge him before the work. I have had to fix the connection on the back bumper as they didn't even have it sealed, the wires would have been exposed to the weather. This is incredibly poor workmanship. With this business it is defiantly BUYER BEWARE."
5,5,"Eric was great! He diagnosed my LQ horse trailer problem over the phone, had the correct parts in hand when he arrived and went through the other appliances too. Fair prices, took the time to explain, responded great to texts and was even early for the appointment. We will for sure use him again. Thanks Eric!"
5,5,"Always ready to help us whenever we are in town. Knowledgeable, honest and shows up when he says. Eric is the man to call. 
James & Carrie Cameron"
5,5,"We have had several RV guys work on our trailer over the years, none compare to Eric. I've been in heavy highway construction for 45 years I know a real mechanic when I see one. This guy knows what he doing and gos the extra mile to take care of his clients. 
We were driving thru AZ on a 2 month trip across the country and made a stop at family's. The heat was bad and we only had one air conditioner and it was time to install a second one. I looked here on Yelp for a RV store. When I came across E's RV repair I saw all the great reviews and knew he was the guy. 
He went out of his way to get us pricing quickly and came that day to install it. 
We can't say how much we appreciate his hard work and great price to add our second AC unit. 
Don't hesitate to use Eric for any RV repairs, trust us you won't be sorry. 
Thanks again Eric. 
Joe & Maggie"
5,5,"Honest, experienced, competent, trained mobile RV repair service. Eric is one of a very small handful of RV techs in the greater Phoenix metro area that knows what he's doing, does it right the first time, and stands behind his work, period. He diagnosed our Norcold refrigerator problem, removed the non-functioning cooling unit, connected us with an expert repair service in Tucson, and reinstalled the repaired unit in our refrigerator. I woul not hesitate to call him again or to recommend him to others. Call him, you'll be glad you did !"
5,5,"Agree with the prior reviewers - Eric is top notch in knowledge and service!  Had to remove the kitchen island in our fifth wheel, just to get the frig out for repair.  Tight timeframe, and required two appoints - for the removal, and then 2 days later the replacement.  Still he fit us in despite a very busy schedule -- and was educating me with how-to tips the entire time he was here.  His local network is vast too.  Awesome guy to work with, and competitive fees!"
5,5,"I have had Eric work on my living quarters horse trailer and a used pop-up camper that I just bought. Eric is super responsive, called me back with some ""things to try"" before he came over and had parts in hand when he showed up exactly when he said he would. I would give Eric 6 stars if that was an option. I would recommend him to any and all for any trailer repairs or maintenance. His prices were very fair and reasonable. Such a relief to find such a nice, reliable, knowledgeable, fair technician. You are one-in-a-million these days Eric! Thank you for your fantastic service!"
5,5,"Eric is AWESOME!  He diagnosed problems in my Class A Holiday Rambler Endeavor in Florence AZ.  He called the warranty company for coverage.  He drove out to Palm Springs CALIF to repair the coach!!!  He completed the repairs quickly! (Because he knows what he's doing!). If we ever need anything this is the ""Go to guy"" no matter what state your in in!!!  Can you believe this guy!  The local RV repair place won't even fix the failure of the repairs they do and charge way too much!  I'll take it to AZ for Eric!!!  E's is number ONE!!!"
5,5,"We're here from out of town for our first Grandchild's birth. We brought our used but new to us 40 ft toy hauler. We had a small issue with the fridge at home but it worked ok. Well by the time we got to Tempe, AZ the fridge quit working completely. We called camping world and they couldn't get us in for a couple weeks.  So my husband started looking up RV repair and he came across Eric from a mobile RV repair. He came out to our trailer 3 different times to fix the issue, and in the end we ended up having to replace the fridge, but not from lack of Eric trying everything he could think of or test. It would work for a while and then quit again. Anyway we couldn't be more happy with Eric's service and friendliness andddd after all that work trying to fix it, he only charged us for the first service call. WOW!!! If you live in the Phoenix or Tempe or the surrounding area and need RV service, give him a call.  480-207-8999"
5,5,"Eric came recommended to us by another RV owner. She said he was the best. She's right. He is knowledgeable and honest, and we wouldn't dream of calling anyone else for RV repairs or questions. Highly recommended."
5,5,"Eric is one of the best. He knows the business of RV repair.  And if he don't, he will direct you to one that does.  He is very experienced in RV repair. I would highly recommend E's RV for anything you need repaired on your RV.  My first call to him sold me.  I could tell he knew his business.  When I need a repair, he is the one I will call."
3.5,5,"Very clean and well-maintained KOA. Pool is pretty and weather was perfect for swimming. The mini-gold was extra at 2$ a person and 5$ charge if you lose the ball. The playground is super nice and the kids give it two thumbs up. The grounds are perfect for riding bikes and scooters to burn off that last little bit of super kid energy before bed. The showers are extremely clean as well as the bathrooms. The laundry room has lots of washers, dryers, and even laundry tub with folding table. The staff is very friendly bilingual. This is a great location near the city but able to have a relaxing wind down evening. Would recommend this location for families and anyone need to relax."
3.5,4,"We are on an adventure of the year. After a nice nite in Montreal and not wanting to fork over the $300 for a motel room we opted for the good old KOA. Being that we are from Billings Montana where KOA originated, thought it would be a great place to lay out heads. The price for a tent spot was as expected the going rate, $40. ( same as a provincial park.) 
We arrived late and were unable to take it in until the next morning. Just like home! Kinda nice to be 3k miles from home and feel like your only 10 miles away. A little comfort a long ways away. The park is very well kept with a nice play ground for the kids, a nice size pool and a wading pool as well. The showers were clean and the staff friendly. Also for the adventures people there is also a put put golf course. All in all a very nice experience. 
The only ""gripe"" if you will was the location of our site was rather close to the main road. There was a bit of traffic in the early AM. Definitely a nice park, just ask to stay away from the road."
3.5,4,Stayed For 4 days and 3 nights in July 2016.  Well maintained and great great restrooms and showers. Nice pool and playground area if you bring kids. Also very easy access to Montreal. Only reason a 4 and not 5 was the very weak Wifi.
3.5,4,"We were only there for one night... So really can't judge it. From what we saw it was clean and the staff were pleasant... Just not one we'll be coming back too.... Not one of our favorites that we visited ""passing thru""."
3.5,5,"We were extremely pleased with our stay at this KOA.  The staff was bilingual, friendly, and helpful with references to tourist attractions and restaurants.  The park is conveniently located close to Montreal sites, yet still maintains a camping feel.  The park was clean, quiet, and well maintained.  Highly recommend."
3.5,4,"This is a classic KOA campground. If you've stayed at KOAs before then you know what I mean... they're fairly predictable, and this one is quite typical. We stayed on a weekend for easy day trips to Montreal and it worked great for that. Not even half full on an August weekend, it was a nice surprise to have plenty of space to ourselves. The pool is decent, the campsites are lined up rather tightly packed like most KOAs, but it's quiet and comfortable. Bathrooms and showers were pretty clean and it was a good experience overall."
3.5,1,"KOA is in the business of serving travellers.  Well, when the hours of Montreal construction that I ran into a few weeks ago while driving OVER 12 HOURS from Halifax delayed me to after 9 pm, I did not think anything of rolling up to the KOA, I've done it before all over North America.   It was dark and locked up, but when I went to find a tent site it seemed to be a muddy, mosquito infested swamp.  Back to the front I called the number.  You know darn well they live above the office, but they would not open up and rent me a cabin.

I had to drive another hour to find a decent hotel.

KOA is a giant money grab, and this just proves it.  They obviously do not need to bend over back anywhere for their customers.  This particular one was just the same almost 25 years ago when we stayed there - nothing's changed.  Give it a pass.

In fact, give camping in Quebec as pass entirely.  Do not, ever, leave the highway following a 'Camping' sign because you will find they are all permanent resident parks - the signs should not be put there for tourists, very misleading."
3.5,4,"It's a nice stop.  The sites are close together but the amenities (bathrooms, laundry, playground, etc) are top notch. It's close to mass transit or a 40 minute drive into Montreal.  I'd come again."
3.5,3,"Hesitant to stay in an expensive hotel room in downtown Montreal and desirous of the possibility to escape from the city noise at the end of the day, my friend and I decided to spend three nights in a Kabin at this campground. I would recommend ensuring the weather will be warm before booking a cabin as when we arrived in early October it was in the forties and a bit chilly to be sleeping in such a space, though the space heater helped. It was otherwise everything I expected it to be: nice and quiet in early fall (though it is probably more crowded in summer) with clean amenities and easy access to the city: only a half hour drive. The Longueuil Metro station is a 15-20 minute drive away, and I'd recommend parking your car there and going into Montreal that way, as city driving was pretty stressful.

I only wish the showers were warmer and the wifi faster. It was hard to connect to the network in the cabin and I dreaded the chilly temp in the shower each morning! Overall, though, a pleasant stay."
3.5,4,Nice campground with plenty of spaces. Big rig friendly. Lots of activities. Downside is very weak WiFi and can get dusty from the roads. Nice folks and not too far from town.
3.5,3,"Being a tent camper at a KOA can be an interesting experience, but these folks do it right - the tents sites are located downslope and away from the motorhomes, and alongside the creek.

As with most KOA's, the restrooms and showers were clean and well lit, and the hot water was plentiful.  The laundry was also clean and open 24 hours.

This campground is about 5 minutes away (by car) from restaurants, gasoline (or should I say 'essence?'), and a few stores; it is about a 15 minute drive from the Longueuil metro station, from which you can access the entire city when you change trains at the Berri-UQAM station.

The only negatives I found at this campsite were plentiful mosquitoes, but also a number of tent campers had a very loud party well into the night (after 1 am) with no intervention by the staff to maintain quiet, although they had a sign that said quiet after 10 pm.

All in all, I would choose this campground again the next time I am in the area."
